,Parameter,Value,Error,Units
0,k1,65.91232659165557,8.21294060213077,s^-1
1,km1,7542.479752737365,931.086256558452,s^-1
2,k2,541788.7615972089,61682.60406192426,M^-1s^-1
3,km2,1863.9116337734426,517.7720283405213,s^-1
4,kcat,2986.878369056294,877.7714421872032,s^-1
