,Parameter,Value,Error,Units
0,k1,51784008310797.69,22477767716987.26,s^-1
1,km1,13.005992176575226,16.567189885075447,s^-1
2,k2,1125303.2543985157,569274.7619455248,M^-1s^-1
3,km2,7.73793711793228,7.3425834937018095,s^-1
4,kcat,0.04811478945948411,0.010876084598642852,s^-1
