,Parameter,Value,Error,Units
0,k2,11513105.144510675,3961998.86578996,M^-1s^-1
1,km2,34.80684344334429,5.170861477088966,s^-1
2,kcat,0.03528098814609271,0.0050173873760114744,s^-1
