,Parameter,Value,Error,Units
0,k2,12147347.176024081,3091.2526758287204,M^-1s^-1
1,km2,200.45690825911322,0.004339009512413733,s^-1
2,kcat,0.08113176014075785,1.470040248360117e-05,s^-1
