,Expt Date,20231207,20231207,20231207,20231207,20231207,20231207,20231207,20231207,20231207,20231207,20231207
,CNOT8X,0,0,0,1.00E-06,1.00E-06,3.00E-06,3.00E-06,5.00E-06,5.00E-06,7.00E-06,7.00E-06
,CAPRIN1,0,0,0,0,0,0,0,0,0,0,0
,RNA,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07
,DNA,0.00E+00,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07
,Time array,4,4,4,4,4,4,4,4,4,4,4
1,DD,5534,762,793,817,792,787,903,932,899,899,841
1,DA,530,746,747,739,730,717,728,726,737,743,738
1,AA,3,3951,3811,3867,3743,3683,3711,3726,3741,3800,3807
2,DD,6325,786,786,777,790,910,948,1259,1195,1862,1678
2,DA,615,815,832,788,793,811,802,824,801,902,858
2,AA,2,4443,4562,4505,4273,4498,4479,4498,4213,4657,4479
3,DD,6332,773,723,806,738,1215,1296,3084,2849,5042,4756
3,DA,630,797,836,803,795,816,800,986,937,1201,1183
3,AA,2,4258,4736,4350,4443,4392,4270,4472,4363,4981,4903
4,DD,6320,750,759,850,800,2259,2069,5418,4950,6732,6231
4,DA,620,877,854,816,804,953,873,1237,1146,1353,1288
4,AA,2,4850,4751,4458,4414,4773,4487,5113,4780,5104,5052
5,DD,6858,774,721,836,805,3892,3575,6486,6142,6798,6589
5,DA,684,835,858,890,850,1098,1128,1335,1317,1390,1328
5,AA,1,4533,4885,5165,4995,4864,5476,5269,5115,5521,4976
6,DD,6623,766,748,927,850,5048,4727,6405,6256,6763,6450
6,DA,657,843,872,915,920,1319,1210,1446,1395,1461,1413
6,AA,2,4583,5076,5393,5433,5860,5287,6258,5669,5970,5734
7,DD,7171,753,737,1062,1028,5835,5701,6491,6482,6957,6793
7,DA,722,850,914,954,960,1455,1409,1495,1424,1495,1411
7,AA,2,4745,5298,5476,5587,6637,5958,6399,5929,6293,5562
8,DD,7046,764,783,1255,1002,6236,6092,6902,6610,7026,6877
8,DA,681,886,929,986,950,1461,1434,1514,1447,1549,1471
8,AA,2,5042,5245,5787,5526,6303,6200,6245,6000,6416,6197
9,DD,8327,755,743,1561,1390,6306,6001,6718,6471,7136,6755
9,DA,823,910,883,988,981,1415,1404,1526,1489,1527,1443
9,AA,2,5152,5163,5633,5624,6128,5919,6325,6320,6202,5973
10,DD,8675,766,753,1788,1248,6456,6113,6844,6437,6906,6699
10,DA,866,915,963,1004,1000,1479,1426,1534,1448,1545,1466
10,AA,1,5362,5618,5628,5704,6315,5990,6491,6168,6389,6043
11,DD,7719,752,699,2277,1998,6242,6035,6800,6329,6844,6651
11,DA,779,852,915,1054,1061,1500,1375,1476,1455,1513,1420
11,AA,2,4898,5259,5761,5983,6523,5967,6093,6193,6364,5742
12,DD,7102,756,781,2595,1541,6343,6329,6947,6593,6933,6865
12,DA,723,920,1013,1140,1076,1557,1509,1516,1542,1579,1455
12,AA,1,5230,5871,6212,6183,6886,6793,6368,6674,6759,5906
13,DD,7078,816,744,3065,2746,6391,6187,6779,6428,6873,6551
13,DA,702,1045,968,1165,1148,1521,1450,1515,1538,1535,1499
13,AA,1,6351,5824,5995,6051,6480,6416,6489,6879,6515,6395
14,DD,7169,844,912,3553,2334,6618,6523,7005,6816,7188,6993
14,DA,709,1037,1065,1246,1064,1554,1503,1583,1577,1617,1538
14,AA,1,6236,6338,6415,5661,6536,6267,6886,6711,6784,6321
15,DD,7528,904,857,4174,3944,6725,6669,7268,7137,7283,7225
15,DA,760,1015,952,1242,1285,1475,1471,1492,1557,1572,1618
15,AA,3,5967,5454,5688,6261,6041,5944,5919,6543,6486,6743
16,DD,7527,1027,1083,4878,3302,7326,7338,7519,7404,7658,7456
16,DA,757,1065,1088,1345,1189,1527,1597,1609,1583,1551,1618
16,AA,2,6187,6220,6116,6000,6116,6462,6374,6495,6175,6726
