Number,Time,FRET,Error,Enzyme,Replicate,RNA
1,0,0.95536767,0,0,1,1.00E-07
2,182.1591579,0.955987257,0,0,1,1.00E-07
3,364.3183158,0.976805203,0,0,1,1.00E-07
4,546.4774737,0.976339295,0,0,1,1.00E-07
5,728.6366316,0.968718419,0,0,1,1.00E-07
6,910.7957895,0.96921073,0,0,1,1.00E-07
7,1092.954947,0.946169628,0,0,1,1.00E-07
8,1275.114105,0.975966572,0,0,1,1.00E-07
9,1457.273263,0.959440745,0,0,1,1.00E-07
10,1639.432421,0.969077797,0,0,1,1.00E-07
11,1821.591579,1,0,0,1,1.00E-07
12,2003.750737,0.966909092,0,0,1,1.00E-07
13,2185.909895,0.947366005,0,0,1,1.00E-07
14,2368.069053,0.97112827,0,0,1,1.00E-07
15,2550.228211,0.906090922,0,0,1,1.00E-07
16,2732.387368,0.828136084,0,0,1,1.00E-07
17,0,0.874729521,0,0,2,1.00E-07
18,182.1591579,0.893709226,0,0,2,1.00E-07
19,364.3183158,0.889703299,0,0,2,1.00E-07
20,546.4774737,0.895423734,0,0,2,1.00E-07
21,728.6366316,0.937603387,0,0,2,1.00E-07
22,910.7957895,0.91716918,0,0,2,1.00E-07
23,1092.954947,0.907062383,0,0,2,1.00E-07
24,1275.114105,0.875522807,0,0,2,1.00E-07
25,1457.273263,0.922718044,0,0,2,1.00E-07
26,1639.432421,0.948933925,0,0,2,1.00E-07
27,1821.591579,0.920120362,0,0,2,1.00E-07
28,2003.750737,0.907330399,0,0,2,1.00E-07
29,2185.909895,0.886643819,0,0,2,1.00E-07
30,2368.069053,0.87805685,0,0,2,1.00E-07
31,2550.228211,0.812180935,0,0,2,1.00E-07
32,2732.387368,0.679104269,0,0,2,1.00E-07
33,0,0.785555404,0,5.00E-07,1,1.00E-07
34,242.1591579,0.81551667,0,5.00E-07,1,1.00E-07
35,484.3183158,0.787891425,0,5.00E-07,1,1.00E-07
36,726.4774737,0.824628376,0,5.00E-07,1,1.00E-07
37,968.6366316,0.794909351,0,5.00E-07,1,1.00E-07
38,1210.795789,0.794723297,0,5.00E-07,1,1.00E-07
39,1452.954947,0.782954114,0,5.00E-07,1,1.00E-07
40,1695.114105,0.808239421,0,5.00E-07,1,1.00E-07
41,1937.273263,0.782711436,0,5.00E-07,1,1.00E-07
42,2179.432421,0.751315727,0,5.00E-07,1,1.00E-07
43,2421.591579,0.805056096,0,5.00E-07,1,1.00E-07
44,2663.750737,0.791367212,0,5.00E-07,1,1.00E-07
45,2905.909895,0.759181791,0,5.00E-07,1,1.00E-07
46,3148.069053,0.716735508,0,5.00E-07,1,1.00E-07
