,Parameter,Value,Units
0,k1,[27.435966012602773],s^-1
1,km1,[466.15264644060335],s^-1
2,k2,[6618375.861787946],M^-1s^-1
3,km2,[19.846406544106014],s^-1
4,kcat,[0.16859788198543613],s^-1
