,Expt Date,20221112,20221112,20221112,20221112,20221112,20221112,20221112,20221112,20221112,20221112,20221112,20221112,20221112,20221112,20221112
,CNOT8,0,0,0,1.00E-06,1.00E-06,1.00E-06,3.00E-06,3.00E-06,3.00E-06,5.00E-06,5.00E-06,5.00E-06,1.00E-05,1.00E-05,1.00E-05
,CAPRIN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,RNA,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07
,DNA,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07
,Time array,6,6,6,6,6,6,1,1,1,1,1,1,7,7,7
1,DD,364,369,377,379,368,395,381,389,418,425,409,410,405,369,380
1,DA,1987,1726,1635,1686,1556,1521,2088,1933,1653,1609,1680,1571,2222,1961,1844
1,AA,14044,12028,11447,11579,10878,10723,14318,13420,11416,11171,11645,10885,15647,13840,12968
2,DD,340,363,376,392,405,408,440,453,459,500,511,473,552,526,528
2,DA,2059,1694,1687,1511,1514,1512,2004,1783,1695,1738,1612,1739,2062,1934,1835
2,AA,14392,11922,11787,10561,10372,10703,13902,12474,11705,12031,11192,12219,14289,13431,12843
3,DD,367,359,373,429,406,421,492,514,517,613,617,594,755,730,747
3,DA,1823,1769,1711,1520,1542,1633,1964,1847,1719,1805,1835,1770,2368,1981,1745
3,AA,12764,12281,11861,10565,10880,11357,13538,12618,11823,12533,12561,12243,16390,13694,12086
4,DD,333,348,360,430,446,429,539,548,567,741,737,701,950,976,971
4,DA,2085,1685,1673,1658,1561,1611,2003,1903,1831,1686,1696,1775,2255,1866,1905
4,AA,14723,11731,11498,11383,11177,10950,13896,13166,12594,11676,11780,12127,15580,12694,13097
5,DD,340,345,359,442,439,454,615,610,630,846,868,854,1159,1195,1208
5,DA,2128,1847,1839,1697,1655,1582,1907,1985,1808,1828,1797,1873,2257,2024,1899
5,AA,15065,12725,12945,11671,11490,10930,13267,13721,12375,12520,12225,12830,15363,13720,12810
6,DD,341,358,352,468,457,478,660,685,709,979,1005,979,1395,1423,1404
6,DA,2071,1709,1763,1614,1594,1654,1999,1942,1850,1964,1883,1815,2518,1987,1838
6,AA,14644,11897,12484,11182,10996,11580,13768,13158,12517,13256,12686,12354,16819,13164,12143
7,DD,328,351,348,486,497,514,702,754,766,1130,1154,1148,1652,1684,1707
7,DA,2058,1801,1727,1844,1601,1629,2210,2048,1918,1895,1797,1929,2259,2037,1865
7,AA,14291,12705,12066,12726,11053,11133,15163,13937,13134,12736,12022,13015,14851,13553,12350
8,DD,326,349,366,503,512,529,826,820,854,1261,1277,1273,1821,1959,1880
8,DA,2113,1822,1626,1826,1785,1667,1956,2142,1949,1933,1955,1910,2367,2044,2034
8,AA,14634,12889,11304,12671,12170,11627,13311,14524,13288,12808,13055,12624,15715,13340,13401
9,DD,314,349,353,524,550,560,918,879,914,1451,1446,1464,2097,2165,2174
9,DA,2259,1756,1819,1639,1704,1618,1983,1939,1934,1832,1713,1748,2383,2148,1974
9,AA,15868,12223,12693,11208,11709,11110,13400,13370,13037,11915,11369,11302,15467,13960,12596
10,DD,325,347,353,548,554,567,969,944,974,1548,1569,1616,2279,2401,2361
10,DA,2196,1836,1627,1761,1722,1743,2001,2042,1843,1881,1884,1883,2517,2316,2043
10,AA,15412,12968,11422,12337,11638,12037,13554,13885,12534,12257,12395,12422,16201,15077,13246
11,DD,323,350,358,571,603,601,1049,1029,1064,1708,1667,1715,2419,2600,2539
11,DA,2299,1797,1706,1659,1625,1624,2000,1875,1965,2005,2036,1908,2611,2189,2202
11,AA,15923,12454,12052,11449,11177,11221,13562,12831,13235,13146,13472,12333,16930,13941,14072
12,DD,329,346,366,594,631,598,1148,1074,1162,1854,1862,1858,2635,2823,2753
12,DA,2262,1870,1690,1758,1683,1701,2140,2143,1882,1975,1953,2002,2642,2099,2158
12,AA,15880,13150,11891,12143,11761,11541,14284,14541,12810,12973,12793,13160,16852,13215,13634
13,DD,330,345,370,625,648,648,1147,1196,1186,1967,1987,2042,2815,2993,2885
13,DA,2372,1859,1750,1794,1659,1688,2384,1979,1987,2124,1933,1949,2585,2249,2214
13,AA,16539,13084,12226,12152,11502,11502,16126,13442,13391,13772,12535,12632,16384,13932,13843
14,DD,332,349,372,677,653,663,1226,1300,1286,2152,2152,2266,2921,3045,3031
14,DA,2168,1879,1735,1677,1758,1734,2415,1986,2090,2092,2121,2011,2641,2269,2188
14,AA,15181,13215,12088,11369,12126,11909,16426,13294,13996,13546,13739,12839,16904,14530,13927
15,DD,337,354,365,671,683,713,1312,1552,1361,2392,2366,2422,3093,3241,3040
15,DA,2224,1894,1843,1874,1824,1749,2486,2089,2173,2180,2146,2099,2584,2123,2083
15,AA,15453,13313,12943,12924,12484,11879,16595,13759,14567,13874,13864,13291,16239,13159,12920
16,DD,324,361,355,708,749,726,1481,1464,1524,2624,2732,2715,3064,3214,3222
16,DA,2384,1850,1918,1783,1716,1812,2457,2152,2039,2095,2132,1959,2725,2309,2227
16,AA,16688,12949,13396,12267,11859,12457,16419,14337,13701,13410,13403,12314,17404,14408,13864
