,Time,FRET,Error,Enzyme,Replicate,RNA
70,910.7957895,0.390142454,0,2.00E-06,1,1.00E-07
71,910.7957895,0.245007305,0,2.00E-06,1,1.00E-07
72,910.7957895,0.201529389,0,2.00E-06,1,1.00E-07
73,1092.954947,0.681391768,0,2.00E-06,1,1.00E-07
74,1092.954947,0.281879911,0,2.00E-06,1,1.00E-07
75,1092.954947,0.320627215,0,2.00E-06,1,1.00E-07
76,1092.954947,0.151083768,0,2.00E-06,1,1.00E-07
77,1275.114105,0.202028656,0,2.00E-06,1,1.00E-07
78,1275.114105,0.236367769,0,2.00E-06,1,1.00E-07
79,1275.114105,0.144667657,0,2.00E-06,1,1.00E-07
80,1275.114105,0.113130062,0,2.00E-06,1,1.00E-07
81,1457.273263,0.1714032,0,2.00E-06,1,1.00E-07
82,1457.273263,0.180711682,0,2.00E-06,1,1.00E-07
83,1457.273263,0.150399929,0,2.00E-06,1,1.00E-07
84,1457.273263,0.082888595,0,2.00E-06,1,1.00E-07
85,1639.432421,0.160517023,0,2.00E-06,1,1.00E-07
86,1639.432421,0.201837764,0,2.00E-06,1,1.00E-07
87,1639.432421,0.135331952,0,2.00E-06,1,1.00E-07
88,1639.432421,0.086968302,0,2.00E-06,1,1.00E-07
89,1821.591579,0.672396896,0,2.00E-06,1,1.00E-07
90,1821.591579,0.178378744,0,2.00E-06,1,1.00E-07
91,1821.591579,0.142283041,0,2.00E-06,1,1.00E-07
92,1821.591579,0.075940986,0,2.00E-06,1,1.00E-07
93,2003.750737,0.128017206,0,2.00E-06,1,1.00E-07
94,2003.750737,0.169322993,0,2.00E-06,1,1.00E-07
95,2003.750737,0.116086517,0,2.00E-06,1,1.00E-07
96,2003.750737,0.075319739,0,2.00E-06,1,1.00E-07
97,2185.909895,0.091381081,0,2.00E-06,1,1.00E-07
98,2185.909895,0.164340252,0,2.00E-06,1,1.00E-07
99,2185.909895,0.142800693,0,2.00E-06,1,1.00E-07
100,2185.909895,0.076383783,0,2.00E-06,1,1.00E-07
