,Expt Date,20230917,20230917,20230917,20230917,20230917,20230917,20230917,20230917,20230917,20230917,20230917,20230917
,CNOT7X,0,0,5.00E-07,5.00E-07,1.00E-06,1.00E-06,2.00E-06,2.00E-06,5.00E-06,5.00E-06,1.00E-05,1.00E-05
,CAPRIN1,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07
,RNA,0.0000001,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07
,DNA,0.0000005,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07
,Time Array,3,3,3,3,3,3,2,2,2,2,2,2
1,DD,761,747,726,786,792,766,859,799,787,804,824,753
1,DA,750,698,695,721,695,731,870,779,788,732,751,716
1,AA,4205,3821,3770,3801,3858,3778,4784,4186,4159,3939,3867,3717
2,DD,767,693,751,757,812,796,870,789,728,847,849,797
2,DA,917,796,732,748,733,742,870,747,670,821,740,684
2,AA,5433,4417,3968,4065,3920,4050,4967,4013,3574,4506,3915,3572
3,DD,680,702,715,764,805,737,975,753,779,762,1004,937
3,DA,813,785,755,788,797,684,1052,749,869,651,921,796
3,AA,4681,4413,4295,4427,4349,3737,6016,3770,4994,3587,5159,4035
4,DD,756,740,757,755,793,747,896,712,881,921,1325,1346
4,DA,817,731,785,808,777,696,894,718,923,706,846,879
4,AA,4789,3968,4380,4520,4231,3671,4980,3729,5365,3699,4573,4698
5,DD,691,731,738,736,724,767,858,740,1004,995,2233,2189
5,DA,847,769,820,785,629,695,831,792,822,706,1005,960
5,AA,4859,4335,4654,4499,3283,3638,4669,4449,4395,3762,5063,4923
6,DD,685,722,747,736,821,768,866,756,1233,1471,3098,3421
6,DA,812,818,827,860,887,805,895,832,905,1059,1073,1005
6,AA,4732,4589,4822,5117,4966,4500,5155,4598,5106,5843,5217,4299
7,DD,761,726,778,800,707,762,960,819,1586,1682,4459,4540
7,DA,1004,906,857,747,798,879,854,782,862,960,1100,1192
7,AA,6016,5276,4794,4030,4605,4988,4632,4359,4470,5040,4631,5274
8,DD,736,736,727,720,706,818,1020,894,2322,2094,5282,5195
8,DA,868,868,850,809,774,855,864,855,962,982,1233,1149
8,AA,4964,4964,4890,4727,4516,4948,4757,4584,4814,5250,4991,4609
9,DD,774,695,789,767,839,841,1056,1038,2771,2854,5430,5433
9,DA,959,877,891,859,860,785,903,945,1055,1136,1288,1227
9,AA,5744,5068,5028,4935,4994,4292,5032,5385,5208,5765,5570,4985
10,DD,744,711,804,770,939,861,1122,997,3582,3316,5712,5529
10,DA,847,835,842,813,939,774,921,932,1080,1064,1322,1331
10,AA,4819,4764,4745,4497,5461,4412,5181,5192,4996,5103,5588,5974
11,DD,715,674,772,757,950,849,1200,1052,4003,3763,5966,5472
11,DA,908,785,876,854,953,788,895,817,1185,1075,1267,1247
11,AA,5389,4468,5061,4865,5494,4447,4997,4310,5436,5006,4979,5053
12,DD,668,743,768,793,1009,932,1285,1675,4625,4693,5825,5520
12,DA,983,844,855,837,918,777,923,1009,1282,1320,1229,1218
12,AA,5926,4765,5027,4853,5244,4422,5125,5652,5940,6033,4893,5012
13,DD,741,744,787,912,1229,1046,1483,1556,5282,5037,5769,5276
13,DA,956,828,773,858,1001,836,975,1048,1279,1263,1385,1412
13,AA,5785,4615,4175,5099,5828,4687,5417,5889,5575,5689,6085,6603
14,DD,626,760,882,933,1291,1093,1716,1782,5417,5353,5486,5416
14,DA,878,863,877,908,1051,864,1097,1062,1446,1346,1445,1369
14,AA,5030,4963,5012,5279,5968,4917,6195,6006,6691,5999,6739,6061
15,DD,838,849,838,942,1260,1270,1660,1762,5418,5639,6070,5602
15,DA,993,843,775,877,914,891,991,1070,1478,1503,1358,1436
15,AA,5775,4760,4278,5038,5151,4965,5360,6002,6847,7092,5544,6641
16,DD,1018,1131,1231,1059,1543,1551,1921,1752,5838,5212,4876,6015
16,DA,1013,945,1049,945,1018,1056,1003,1012,1313,1333,1240,1391
16,AA,5752,5475,6067,5152,5859,6029,5373,5569,5474,6044,5958,6115
