,Parameter,Value,Units
0,k1,[1614.3714739485977],s^-1
1,km1,[0.13238699344327465],s^-1
2,k2,[15473122.550226951],M^-1s^-1
3,km2,[96.3532632720101],s^-1
4,kcat,[0.05582928817635957],s^-1
