Number,Time,FRET,Error,Enzyme,Replicate,RNA
96,3966.158,0.117114607,0,3.00E-06,1,1.00E-07
97,0,0.708985029,0,5.00E-06,1,1.00E-07
98,0,0.734498182,0,5.00E-06,1,1.00E-07
99,345.31,0.597128809,0,5.00E-06,1,1.00E-07
100,345.31,0.642190407,0,5.00E-06,1,1.00E-07
101,603.942,0.2957389,0,5.00E-06,1,1.00E-07
102,603.942,0.316687061,0,5.00E-06,1,1.00E-07
103,862.574,0.146195747,0,5.00E-06,1,1.00E-07
104,862.574,0.170023298,0,5.00E-06,1,1.00E-07
105,1121.206,0.132320946,0,5.00E-06,1,1.00E-07
106,1121.206,0.152368163,0,5.00E-06,1,1.00E-07
107,1379.838,0.103523419,0,5.00E-06,1,1.00E-07
108,1379.838,0.126099778,0,5.00E-06,1,1.00E-07
109,1638.47,0.122691887,0,5.00E-06,1,1.00E-07
110,1638.47,0.131219327,0,5.00E-06,1,1.00E-07
111,1897.102,0.112135406,0,5.00E-06,1,1.00E-07
112,1897.102,0.122695484,0,5.00E-06,1,1.00E-07
113,2155.734,0.162238929,0,5.00E-06,1,1.00E-07
114,2155.734,0.16727027,0,5.00E-06,1,1.00E-07
115,2414.366,0.162714006,0,5.00E-06,1,1.00E-07
116,2414.366,0.179616072,0,5.00E-06,1,1.00E-07
117,2672.998,0.139217489,0,5.00E-06,1,1.00E-07
118,2672.998,0.151455373,0,5.00E-06,1,1.00E-07
119,2931.63,0.108007655,0,5.00E-06,1,1.00E-07
120,2931.63,0.114527106,0,5.00E-06,1,1.00E-07
121,3190.262,0.108402465,0,5.00E-06,1,1.00E-07
122,3190.262,0.111821584,0,5.00E-06,1,1.00E-07
123,3448.894,0.099816521,0,5.00E-06,1,1.00E-07
124,3448.894,0.112795962,0,5.00E-06,1,1.00E-07
125,3707.526,0.12563428,0,5.00E-06,1,1.00E-07
126,3707.526,0.116646487,0,5.00E-06,1,1.00E-07
127,3966.158,0.117331903,0,5.00E-06,1,1.00E-07
128,3966.158,0.113415769,0,5.00E-06,1,1.00E-07
129,0,0.738560121,0,7.00E-06,1,1.00E-07
130,0,0.768676286,0,7.00E-06,1,1.00E-07
131,345.31,0.452706737,0,7.00E-06,1,1.00E-07
132,345.31,0.49455321,0,7.00E-06,1,1.00E-07
133,603.942,0.171409609,0,7.00E-06,1,1.00E-07
134,603.942,0.189323209,0,7.00E-06,1,1.00E-07
135,862.574,0.118430443,0,7.00E-06,1,1.00E-07
136,862.574,0.128707178,0,7.00E-06,1,1.00E-07
137,1121.206,0.123607763,0,7.00E-06,1,1.00E-07
138,1121.206,0.147738507,0,7.00E-06,1,1.00E-07
139,1379.838,0.10905308,0,7.00E-06,1,1.00E-07
