polyA length,Kd M
0,3.0513128066216547e-05
1,2.5559484774353495e-06
2,6.152342931998666e-07
3,1.4809110546271153e-07
4,3.564654272294219e-08
5,8.58036682303288e-09
6,2.065353024275742e-09
7,4.971446096493458e-10
8,1.196661103445373e-10
9,2.8804451837648267e-11
10,6.9334287149352015e-12
11,1.6689237488718156e-12
12,4.017213696231658e-13
13,9.669708332750871e-14
14,2.327564981872326e-14
15,5.6026082260305214e-15
16,1.3485861481354663e-15
17,3.246139165135896e-16
18,7.81367915872374e-17
