,Expt Date,20230920,20230920,20230920,20230920,20230920,20230920,20230920,20230920,20230920,20230920,20230920,20230920
,CNOT7,0.00E+00,0.00E+00,2.00E-06,2.00E-06,3.00E-06,3.00E-06,5.00E-06,5.00E-06,7.00E-06,7.00E-06,1.00E-05,1.00E-05
,CAPRIN1,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07
,RNA,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07
,DNA,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07
,Time Array,1,1,2,2,2,2,2,2,1,1,1,1
1,DD,1162,886,906,814,836,907,885,958,816,800,823,885
1,DA,941,783,841,869,697,720,729,685,800,805,793,803
1,AA,5324,4164,4813,4947,3780,3705,3944,3565,4488,4524,4413,4314
2,DD,921,845,995,955,1099,1179,1274,1284,1228,1231,1376,1316
2,DA,892,817,839,868,821,869,931,852,987,918,867,894
2,AA,5135,4507,4900,4731,4467,4909,5221,4673,5479,5224,4801,5013
3,DD,911,838,1066,1207,1555,1451,1778,1610,1757,1674,1986,2122
3,DA,912,828,1103,877,930,842,922,877,895,881,900,865
3,AA,5392,4579,6652,4840,5224,4666,4909,4713,4891,4655,4764,4342
4,DD,885,819,1588,1552,2031,2251,2506,2892,2432,1939,3280,3310
4,DA,880,874,1035,835,988,887,981,993,1067,798,1009,1006
4,AA,5038,5026,5823,4550,5272,4534,5222,4876,5601,4792,5175,4737
5,DD,916,863,1797,2045,3323,3083,3918,4108,3492,3377,4445,4610
5,DA,1056,785,1001,896,1078,1011,1108,1074,1104,1024,1215,1108
5,AA,6304,4224,5373,4667,5063,4948,5103,4592,5468,4772,5740,4890
6,DD,911,874,2750,2655,3890,3870,4523,4922,4547,4758,5236,4989
6,DA,921,823,1068,954,1126,1158,1157,1136,1157,1132,1300,1281
6,AA,5298,4599,5349,4691,5373,5492,5133,4872,5157,5105,5796,5750
7,DD,939,884,1613,3540,4809,4533,4723,5556,4981,4873,5112,5370
7,DA,936,760,1042,1054,1184,1207,1188,1207,1233,1258,1230,1256
7,AA,5376,4083,4860,4878,5223,5631,5314,4924,5574,5656,5410,5432
8,DD,926,831,3860,3906,5234,5012,5672,5643,5210,5561,5302,5220
8,DA,934,821,1200,1135,1315,1253,1323,1224,1331,1292,1276,1245
8,AA,5269,4609,5974,5283,5860,5561,5674,5007,6089,5597,5562,5403
9,DD,886,870,3992,4470,5281,4950,5456,5344,5577,5323,5682,5134
9,DA,921,760,1383,1165,1294,1197,1256,1249,1277,1217,1253,1203
9,AA,5247,4116,7194,5431,5643,5237,5337,5364,5505,5155,5231,5420
10,DD,874,873,4861,4563,5444,4871,5469,4775,5592,4924,5520,5181
10,DA,910,780,1255,1113,1273,1226,1230,1166,1245,1204,1255,1191
10,AA,5416,4162,5516,4820,5590,5603,5084,5189,5397,5359,5256,5016
11,DD,866,788,1747,4934,5101,4775,4681,5016,5436,5005,5043,4818
11,DA,881,776,1225,1146,1239,1202,1162,1196,1298,1209,1288,1214
11,AA,5122,4138,5355,4869,5504,5358,5165,5170,5823,5296,5967,5499
12,DD,845,854,5184,4922,5259,4970,4990,4954,5259,4733,5043,4654
12,DA,884,867,1316,1170,1183,1217,1217,1217,1262,1212,1230,1236
12,AA,5211,4910,5924,5101,5096,5184,5281,5525,5484,5528,5619,5687
13,DD,846,834,1882,4811,5096,4825,4688,4976,5005,4915,4988,4880
13,DA,909,821,370,1220,1269,1206,1122,1206,1258,1225,1195,1190
13,AA,5246,4539,5101,5513,5613,5476,4910,5378,5759,5577,5380,5393
14,DD,843,881,5277,4953,5333,5127,5101,5160,4937,5129,5215,878
14,DA,903,807,1260,1200,1271,1236,1287,1222,1226,1283,1237,1101
14,AA,5323,4585,5690,5315,5469,5543,5793,5392,5622,5725,5351,5167
15,DD,935,926,5412,5201,5412,5174,5388,4794,5346,5484,4909,5006
15,DA,1007,844,1322,1284,1238,1284,1218,1192,1309,1218,1197,1151
15,AA,5918,4758,5903,5777,5291,5912,5111,5580,5638,4918,5354,4819
16,DD,1071,1149,5400,5209,5716,5716,5284,5139,5527,3896,5053,5162
16,DA,913,935,1366,1323,1222,1222,1287,1303,1315,1242,1261,1230
16,AA,5089,5165,6151,5977,5234,5234,5603,5925,5730,5187,5812,5443
