Number,Time,FRET,Error,Enzyme,Replicate,RNA
90,3190.262,0.059833649,0,3.00E-06,1,1.00E-07
91,3448.894,5.83E-02,0,3.00E-06,1,1.00E-07
92,3448.894,0.066095801,0,3.00E-06,1,1.00E-07
93,3707.526,5.29E-02,0,3.00E-06,1,1.00E-07
94,3707.526,0.061090987,0,3.00E-06,1,1.00E-07
95,3966.158,7.02E-02,0,3.00E-06,1,1.00E-07
96,3966.158,0.059763782,0,3.00E-06,1,1.00E-07
97,0,0.98113911,0,5.00E-06,1,1.00E-07
98,0,0.971783118,0,5.00E-06,1,1.00E-07
99,345.31,0.37211396,0,5.00E-06,1,1.00E-07
100,345.31,0.461351745,0,5.00E-06,1,1.00E-07
101,603.942,0.150988464,0,5.00E-06,1,1.00E-07
102,603.942,0.141016335,0,5.00E-06,1,1.00E-07
103,862.574,0.102394404,0,5.00E-06,1,1.00E-07
104,862.574,0.12036166,0,5.00E-06,1,1.00E-07
105,1121.206,0.086094295,0,5.00E-06,1,1.00E-07
106,1121.206,0.074613214,0,5.00E-06,1,1.00E-07
107,1379.838,0.071866898,0,5.00E-06,1,1.00E-07
108,1379.838,0.085424611,0,5.00E-06,1,1.00E-07
109,1638.47,0.072919499,0,5.00E-06,1,1.00E-07
110,1638.47,0.081620536,0,5.00E-06,1,1.00E-07
111,1897.102,0.094283896,0,5.00E-06,1,1.00E-07
112,1897.102,0.079296518,0,5.00E-06,1,1.00E-07
113,2155.734,0.067593202,0,5.00E-06,1,1.00E-07
114,2155.734,0.087397492,0,5.00E-06,1,1.00E-07
115,2414.366,0.097774287,0,5.00E-06,1,1.00E-07
116,2414.366,0.116769604,0,5.00E-06,1,1.00E-07
117,2672.998,0.066514294,0,5.00E-06,1,1.00E-07
118,2672.998,0.078930246,0,5.00E-06,1,1.00E-07
119,2931.63,0.075741447,0,5.00E-06,1,1.00E-07
120,2931.63,0.073434774,0,5.00E-06,1,1.00E-07
121,3190.262,0.06099821,0,5.00E-06,1,1.00E-07
122,3190.262,0.067715253,0,5.00E-06,1,1.00E-07
123,3448.894,0.060837369,0,5.00E-06,1,1.00E-07
124,3448.894,0.071935458,0,5.00E-06,1,1.00E-07
125,3707.526,0.051582388,0,5.00E-06,1,1.00E-07
126,3707.526,0.062386196,0,5.00E-06,1,1.00E-07
127,3966.158,0.067041004,0,5.00E-06,1,1.00E-07
128,3966.158,0.061137274,0,5.00E-06,1,1.00E-07
129,0,0.982123505,0,7.00E-06,1,1.00E-07
130,0,0.999978927,0,7.00E-06,1,1.00E-07
131,345.31,0.301150275,0,7.00E-06,1,1.00E-07
132,345.31,0.332339419,0,7.00E-06,1,1.00E-07
133,603.942,0.104464147,0,7.00E-06,1,1.00E-07
134,603.942,0.111640185,0,7.00E-06,1,1.00E-07
135,862.574,0.103885467,0,7.00E-06,1,1.00E-07
136,862.574,0.085877123,0,7.00E-06,1,1.00E-07
137,1121.206,0.066245418,0,7.00E-06,1,1.00E-07
138,1121.206,0.095803694,0,7.00E-06,1,1.00E-07
139,1379.838,0.075199467,0,7.00E-06,1,1.00E-07
140,1379.838,0.06484129,0,7.00E-06,1,1.00E-07
141,1638.47,0.083570378,0,7.00E-06,1,1.00E-07
142,1638.47,0.074562312,0,7.00E-06,1,1.00E-07
143,1897.102,0.083805736,0,7.00E-06,1,1.00E-07
144,1897.102,0.077684663,0,7.00E-06,1,1.00E-07
145,2155.734,0.054674674,0,7.00E-06,1,1.00E-07
146,2155.734,0.074860442,0,7.00E-06,1,1.00E-07
147,2414.366,0.113958527,0,7.00E-06,1,1.00E-07
148,2414.366,0.09074771,0,7.00E-06,1,1.00E-07
149,2672.998,0.056232936,0,7.00E-06,1,1.00E-07
