,Expt Date,20231217,20231217,20231217,20231217,20231217,20231217,20231217,20231217,20231217,20231217,20231217
,CNOT8X,0,0,0,1.00E-06,1.00E-06,3.00E-06,3.00E-06,5.00E-06,5.00E-06,7.00E-06,7.00E-06
,CAPRIN1,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04
,RNA,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07
,DNA,0,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07
,Time array,4,4,4,4,4,4,4,4,4,4,4
1,DD,8080,836,814,839,777,809,781,794,782,795,772
1,DA,806,699,712,719,673,729,718,713,692,715,714
1,AA,3,3644,3674,3676,3541,3671,3636,3618,3614,3633,3543
2,DD,8204,831,841,812,762,1460,1255,2365,2002,3046,2652
2,DA,832,789,828,789,767,840,776,921,858,973,928
2,AA,3,4319,4403,4331,4188,4470,4082,4651,4250,4500,4471
3,DD,7537,807,787,909,886,3168,3037,4740,4690,5701,5313
3,DA,755,772,740,740,743,991,941,1111,1118,1201,1187
3,AA,2,4103,4018,4065,4001,4621,4378,4523,4740,4749,4793
4,DD,7792,820,834,1236,988,4996,4397,5556,5623,6443,6345
4,DA,785,832,835,802,744,1153,1141,1293,1194,1270,1316
4,AA,2,4549,4420,4227,3998,4785,4852,5440,4666,4603,5033
5,DD,7434,817,742,1669,1505,5467,5221,6156,5775,6489,6202
5,DA,746,820,788,828,834,1247,1208,1236,1349,1321,1197
5,AA,2,4518,4345,4225,4314,5127,4931,4743,5749,5198,4313
6,DD,7333,837,813,2106,1504,5808,5885,6537,6301,6511,6443
6,DA,734,818,795,856,842,1281,1237,1321,1303,1327,1334
6,AA,2,4380,4381,4210,4253,5087,4888,4962,4825,4963,5113
7,DD,7563,809,751,2566,2232,5875,6049,6237,6085,6127,5856
7,DA,764,917,876,1005,883,1363,1292,1351,1333,1313,1325
7,AA,1,5327,5087,5026,4416,5915,5279,5464,5345,5219,5555
8,DD,8096,753,803,2773,2155,6155,5868,6000,6289,6648,6627
8,DA,804,882,940,1030,937,1428,1278,1309,1442,1430,1402
8,AA,2,5114,5379,5161,4872,6064,5184,5451,6040,5603,5496
9,DD,7547,783,766,3594,3343,6213,5947,6296,6076,6505,5772
9,DA,749,904,873,1104,1095,1370,1346,1402,1332,1381,1318
9,AA,2,5336,4939,5317,5222,5634,5608,5719,5227,5756,5588
10,DD,8670,793,774,3868,2816,6133,5948,6193,6010,6530,6722
10,DA,903,909,864,1127,1032,1393,1340,1415,1333,1388,1420
10,AA,1,5206,4758,5219,5137,6137,5469,6039,5488,5337,5605
11,DD,7381,758,695,4180,3758,6179,5628,6118,5802,6291,5975
11,DA,727,854,841,1170,1133,1368,1264,1356,1312,1459,1377
11,AA,2,4766,4800,5295,5365,5761,5309,5590,5438,6112,5801
12,DD,7517,756,723,4375,3425,6106,5832,6180,5780,6270,6162
12,DA,752,892,845,1216,1081,1385,1355,1386,1359,1427,1428
12,AA,2,5236,4886,5642,4981,5852,5856,5564,5877,6096,5983
13,DD,7225,837,699,4648,4432,5792,5743,5982,5942,6121,6036
13,DA,753,944,777,1272,1204,1437,1398,1369,1371,1492,1322
13,AA,3,5465,4365,5801,5573,6389,6197,5771,5664,6677,5525
14,DD,7544,763,854,4964,4193,6126,6141,6262,5819,6272,7180
14,DA,745,901,923,1341,1194,1469,1407,1456,1408,1371,1461
14,AA,3,5170,5357,5994,5599,6474,5945,6126,6104,5624,5614
15,DD,7577,860,920,5127,5014,6282,5992,6334,6279,6533,6277
15,DA,761,952,1017,1452,1332,1531,1489,1473,1387,1441,1500
15,AA,2,5506,5978,6721,6056,6751,6602,6382,5804,5927,6627
16,DD,7890,997,1031,5558,4632,6215,6340,6520,6283,6275,7319
16,DA,790,988,986,1358,1312,1450,1528,1460,1517,1479,1548
16,AA,1,5725,5705,5785,5931,6294,6702,6025,6638,6411,6238
