,Expt Date,20230917,20230917,20230917,20230917,20230917,20230917,20230917,20230917,20230917,20230917,20230917,20230917
,CNOT7,0,0,0.0000005,5.00E-07,1.00E-06,1.00E-06,2.00E-06,2.00E-06,5.00E-06,5.00E-06,1.00E-05,1.00E-05
,CAPRIN1,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
,RNA,0.0000001,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07
,DNA,0.0000005,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07,5.00E-07
,Time Array,2,2,3,3,3,3,3,3,2,2,2,2
1,DD,454,457,533,519,509,525,523,510,506,490,532,508
1,DA,593,516,513,463,460,460,447,458,507,443,483,472
1,AA,3509,2965,2850,2506,2451,2442,2391,2370,2707,2361,2517,2485
2,DD,472,434,495,489,488,486,527,492,486,481,595,567
2,DA,537,545,524,471,513,521,560,500,491,471,517,462
2,AA,3053,3187,2971,2659,2882,2978,3229,2818,2773,2537,2978,2504
3,DD,447,417,515,493,478,490,515,469,495,507,1667,1628
3,DA,571,561,536,496,490,514,490,482,498,488,608,561
3,AA,3300,3439,3069,2662,2742,2907,2733,2687,2745,2707,2987,2666
4,DD,451,441,478,478,503,510,528,496,893,851,2564,2890
4,DA,543,506,546,546,562,466,490,495,530,507,713,667
4,AA,3113,2903,3154,3154,3282,2518,2681,2733,2860,2701,3226,2671
5,DD,475,411,523,435,475,485,588,571,1171,1171,3168,2494
5,DA,533,487,553,467,500,491,559,520,536,511,733,574
5,AA,2942,2778,3079,2707,2912,2737,3301,3070,2924,2502,3095,2465
6,DD,465,412,529,470,499,514,700,668,2039,2072,3140,3167
6,DA,540,494,539,548,504,538,536,523,628,626,700,742
6,AA,3042,2917,2968,3208,2857,3095,3043,2910,2943,2907,2973,3113
7,DD,478,433,518,464,557,535,878,868,2635,2611,3309,3201
7,DA,537,525,580,513,589,524,548,536,742,643,769,716
7,AA,3069,3004,3331,2948,3500,2999,3002,2929,3417,2705,3217,2977
8,DD,464,439,505,460,550,534,1203,1095,2932,2583,3304,3269
8,DA,545,560,533,537,522,489,652,565,762,653,770,759
8,AA,3039,3345,3001,3155,2966,2685,3486,2984,3418,2823,3334,3128
9,DD,469,423,522,449,607,573,1374,1432,3219,2869,3135,3099
9,DA,541,526,573,495,586,520,601,549,792,782,817,747
9,AA,3076,2995,3267,2798,3340,2969,3134,2761,3441,3528,3726,3243
10,DD,472,398,500,500,607,604,1767,1755,3130,3012,3167,3010
10,DA,528,532,620,620,542,529,656,551,751,710,732,720
10,AA,2931,3070,3904,3904,3088,2973,3258,2484,3247,3040,3090,3100
11,DD,420,417,584,467,605,617,2031,2019,3226,2940,3307,3136
11,DA,539,528,406,451,514,502,659,658,784,674,761,759
11,AA,3177,3064,1988,2456,3023,2794,3180,3180,3371,2792,3253,3320
12,DD,467,422,530,486,716,659,2343,2196,3202,2995,3210,3207
12,DA,542,516,565,493,547,520,717,648,733,722,786,728
12,AA,3053,3028,3124,2780,3064,2992,3411,3031,3136,3080,3488,3063
13,DD,467,454,524,512,721,743,2471,1984,2133,3088,3302,3247
13,DA,546,526,594,496,583,507,704,568,810,722,783,728
13,AA,3187,2978,3519,2772,3372,2869,3287,2579,3520,3037,3309,2997
14,DD,450,450,546,531,893,873,2769,2775,2171,3114,2966,3308
14,DA,537,537,655,535,600,566,741,695,745,739,699,738
14,AA,3115,3115,4019,3043,3419,3113,3304,2909,3077,3176,3058,3022
15,DD,516,516,585,573,1067,986,2928,2904,3494,3269,3462,3385
15,DA,595,595,601,542,615,597,774,748,835,743,769,747
15,AA,3387,3387,3343,3091,3392,3194,3560,3240,3513,3094,3141,3031
16,DD,591,647,648,641,1220,1140,3230,3165,3447,3523,3510,3519
16,DA,610,568,600,579,651,581,832,765,779,806,830,791
16,AA,3487,3275,3319,3337,3505,3014,3644,3273,3211,3342,3506,3302
